APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002570001","Oct 30, 2019",Con Archivo (Preliminar),CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huaraz,"01306015200-2019-
0002010000","Oct 29, 2019",En Investigacion Preventiva,RESPONSABILIDAD DE SERVIDOR PÚBLICO POR OTORGAMIENTO ILEGAL DERECHOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640001","Oct 16, 2019",Con Archivo (Califica),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,01ºfiscalia Especializada En Prevencion Del Delito-Lima Norte(Ncpp),"00606010901-2019-
0012610000","Oct 9, 2019",No Ha Lugar,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640000","Sep 25, 2019",Denuncia Pendiente,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,50°Fiscalia Provincial En Lo Penal De Lima,"00506010150-2019-
0005530000","Jun 26, 2019",Denuncia Pendiente,ESTAFA
"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,06º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2019-
0006300000","Jun 25, 2019",En Calificacion (Califica),OMISIÓN ILEGAL DE ACTO DE SU CARGO
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690002","Jun 14, 2019",Consulta Resuelta,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01º Fiscalia Provincial Penal De Surquillo,"00506150101-2019-
0005970000","May 30, 2019",Denuncia Pendiente,ABUSO DE AUTORIDAD
"BAZÁN VILLANUEVA, LENIN FERNANDO",Frente Amplio,La Libertad,Fiscalia Superior Mixta De Sanchez Carrion,"02305090600-2019-
0000160000","May 27, 2019",Denuncia Pendiente,GRAVE PERTURBACIÓN DE LA TRANQUILIDAD PÚBLICA (USANDO CUALQUIER MEDIO RAZONABLE CAPAZ DE PRODUCIR AL
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01° Fiscalia Provincial Prevencion Del Delito,"00507010951-2019-
0008480000","May 23, 2019",Derivado,DELITO CONTRA LA SEGURIDAD PUBLICA
"GUPIOC RIOS, ROBINSON DOCITEO",Podemos,Lima,57ºfiscalia Provincial En Lo Penal De Lima,"00506010157-2019-
0004220000","May 23, 2019",Archivo Definitivo,ABUSO DE AUTORIDAD
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900001","May 10, 2019",Con Archivo (Califica),CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900000","May 10, 2019",Formaliza Investigacion Preparatoria,CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001210000","Mar 29, 2019",Denuncia Pendiente,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000690000","Mar 29, 2019",Denuncia Pendiente,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000700000","Mar 29, 2019",Denuncia Pendiente,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2019-
0006830000","Mar 25, 2019",Denuncia Pendiente,ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001350001","Mar 22, 2019",Con Sobreseimiento,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870002","Mar 21, 2019",Consulta Resuelta,ABUSO DE AUTORIDAD (OMISION ILEGAL DE ACTO DE SU CARGO)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2018-
0003750002","Mar 21, 2019",Formaliza Investigacion Preparatoria,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001020000","Mar 14, 2019",Con Investigacion Preliminar,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2019-
0000930000","Mar 12, 2019",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PÚBLICOS
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0000950000","Mar 12, 2019",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PÚBLICOS
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690001","Mar 5, 2019",Recepcion De Solicitud De Consulta,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870001","Feb 26, 2019",Solicitud De Exclusion Fiscal Pendiente,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000440000","Feb 26, 2019",En Calificacion (Califica),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000430000","Feb 25, 2019",Denuncia Pendiente,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,03º Fiscalia Superior Penal Del Callao (Ncpp),"00906010113-2015-
0000880001","Feb 4, 2019",Califica Apelacion(Expediente),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,1º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Ancash,"01306015500-2018-
0003750001","Jan 31, 2019",Impugnacion Resuelta - Fiscal Superior,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2019-
0000410000","Jan 15, 2019",Denuncia Pendiente,ABUSO DE AUTORIDAD
"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040008","Jan 10, 2019",Solicitud Apelacion Pendiente(Expediente),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2019-
0004630000","Jan 9, 2019",Denuncia Pendiente,RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,19º Fiscalia Provincial En Lo Penal De Lima,"00506010119-2019-
0000080000","Jan 3, 2019",Denuncia Pendiente,FALSEDAD IDEOLÓGICA INSERTA O HACE INSERTAR EN INSTRUMENTO PÚBLICO DECLARACIONES FALSAS
"QUISPE SUÁREZ, MARIO JAVIER",APP,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02606054502-2013-
0003500004","Jan 3, 2019",Audiencia De Apelacion,VIOLACIÓN A LA LIBERTAD AL TRABAJO (IMPEDIMENTO.A.INTEGRAR.SINDICATO)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,04º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2018-
0013660000","Dec 28, 2018",Denuncia Pendiente,OMISIÓN ILEGAL DE ACTO DE SU CARGO
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Anticorrupcion - Chachapoyas(Ncpp),"01206015500-2018-
0001310000","Dec 27, 2018",Denuncia Pendiente,DELITOS COMETIDOS POR FUNCIONARIOS PÚBLICOS
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Nacional Especializada En Delitos De Lavado De Activos Y Perdida De Dominio,"00505015701-2018-
0000430000","Dec 17, 2018",Impugnacion Resuelta - Fiscal Superior,LAVADO DE ACTIVOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Provincial De Prevencion Del Delito De Loreto (Ncpp),"02506014901-2018-
0004580000","Dec 7, 2018","Con Archivo Definitivo (Inv.
Preven.)",ABUSO DE AUTORIDAD
"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040007","Dec 6, 2018",Apelacion Resuelta(Expediente),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,03º Fiscalia Provincial Mixta De San Juan De Lurigancho,"00506010617-2018-
0028620000","Dec 5, 2018",Denuncia Pendiente,DELITOS CONTRA LA FE PUBLICA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Corporativa De Prevencion Del Delito De Lambayeque,"02406074504-2018-
0004640000","Dec 5, 2018",Denuncia Pendiente,USURPACION (AGENTE CON VIOLENCIA O AMENAZA TURBA POSESION DE INMUEBLE)
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Superior Penal Transitoria De Tumbes,"03506015500-2015-
0000110001","Dec 5, 2018",Audiencia De Apelacion,CONCUSION (COLUSION ILEGAL)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,02º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014502-2018-
0023190000","Dec 4, 2018",Denuncia Pendiente,ABUSO DE AUTORIDAD
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,02º Fiscalia Provincial Penal Corporativa De Cutervo,"02406024502-2018-
0005690000","Nov 27, 2018",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,02º Fiscalia Superior En Lo Penal De Lima,"00505010102-2018-
0010480001","Nov 27, 2018",Exped. Pendiente,FALSIFICACIÓN DOCUMENTARIA HACE EN TODO O PARTE UN DOCUMENTO FALSO O ADULTERA UNO VERDADERO
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,07º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014507-2018-
0021300000","Nov 27, 2018",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"MESÍA RAMIREZ, CARLOS FERNANDO",Fuerza Popular,Lima,01º Fiscalia Provincial Penal De Chorrillos,"00706040101-2018-
0026430000","Nov 24, 2018",Denuncia Pendiente,FRAUDE PROCESAL
"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040006","Nov 23, 2018",Apelacion Resuelta(Expediente),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Espec. En Delitos De Corrupcion De Funcionarios-Cajamarca,"01706045500-2018-
0002850000","Nov 22, 2018",Derivado (Califica),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,Fiscalia Provincial Penal Especializada En Materia Ambiental,"00506010170-2018-
0004520000","Nov 9, 2018",Con Resolucion Emitida,CONTAMINACION (INCUMPLIMIENTO DE NORMAS RELATIVAS AL MANEJO DE RESIDUOS SOLIDOS CONTRAVINIENDO LE...
"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,Lima,43º Fiscalia Provincial En Lo Penal De Lima,"00506010143-2018-
0010870000","Nov 8, 2018",Denuncia Pendiente,CONTRA LA FE PUBLICA (FALSEDAD IDEOLOGICA INSERTA O HACE INSERTAR EN INSTRUMENTO PUBLICO DECLARACIONES FALSAS...
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0074550000","Nov 6, 2018",Con Investigacion Preliminar,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2018-
0007820000","Nov 5, 2018",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010016","Oct 29, 2018",Audiencia De Apelacion,PECULADO (PECULADO DOLOSO SIMPLE)
"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,Junín,06º Fiscalía Provincial Penal Corporativa De Huancayo(Ncpp),"02206014506-2018-
0021930000","Oct 25, 2018",Con Investigacion Preliminar,LAVADO DE ACTIVOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0016450000","Oct 24, 2018",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0016780000","Oct 24, 2018",Con Archivo (Califica),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2018-
0023960000","Oct 23, 2018",Denuncia Pendiente,VIOLACION DE LA LIBERTAD DE TRABAJO
"AGUILAR ZAMORA, MANUEL",Acción Popular,San Martín,01° Fiscalia Provincial Penal Corporativa De Moyobamba,"02806014501-2018-
0006970000","Oct 22, 2018",Denuncia Pendiente,DELITOS CONTRA LA VOLUNTAD POPULAR
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606054502-2012-
0007140001","Oct 19, 2018",Audiencia De Apelacion,CONCUSION (COLUSION ILEGAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Penal Corporativa De Ascope,"02306024500-2018-
0012950000","Oct 18, 2018",Denuncia Pendiente,OMISION ACTOS FUNCIONALES-1ER.PARRAFO- FUNCIONARIO PUBLICO QUE...
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0015960000","Oct 17, 2018",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"ALMERI VERAMENDI, CARLOS ALBERTO",Podemos,Lima Provincias,03ºfiscalia Provincial Penal Corporativa De Condevilla,"00606034503-2018-
0002460000","Oct 15, 2018",En Calificacion (Califica),LESIONES
"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0063070000","Oct 12, 2018",Con Investigacion Preliminar,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E...
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0071790000","Oct 10, 2018",Con Archivo (Califica),DELITO CONTRA LA ADMINISTRACION PUBLICA
"MACHACA MAMANI, RAÚL",Frepap,Tacna,Fiscalia Provincial Especializada En Materia Ambiental De Puno (Ncpp),"02706015200-2018-
0001630000","Oct 4, 2018",Con Investigacion Preliminar,CONTAMINACION DEL AMBIENTE DOLOSO
"MACHACA MAMANI, RAÚL",Frepap,Tacna,Fiscalia Provincial Especializada En Materia Ambiental De Puno (Ncpp),"02706015200-2018-
0001620000","Oct 3, 2018",En Calificacion (Califica),MINERIA ILEGAL ( CULPOSO)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2018-
0074560000","Oct 3, 2018",En Calificacion (Califica),DELITO CONTRA LA ADMINISTRACION PUBLICA
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,04ºfiscalia Superior Penal De La Libertad,"02306015500-2016-
0003120002","Oct 2, 2018",Audiencia De Apelacion,CORRUPCIÓN DE FUNCIONARIO (CORRUPCION DE FUNCIONARIO PUBLICO)
"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,Tacna,01ºfiscalia Provincial Penal Corporativa De Carabayllo(Ncpp),"00606054501-2018-
0005140000","Sep 23, 2018",Denuncia Pendiente,OMISION DE ASISTENCIA FAMILIAR
"GARCÍA OVIEDO, PAUL GABRIEL",Acción Popular,Callao,10º Fiscalia Provincial Penal Corporativa Del Callao (Ncpp),"00906014510-2018-
0016420000","Sep 11, 2018",Con Archivo (Preliminar),FALSIFICACION DE DOCUMENTOS EN GENERAL
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2017-
0006910001","Sep 4, 2018",Con Archivo (Preliminar),CORRUPCIÓN DE FUNCIONARIO (CORRUPCION DE FUNCIONARIO PUBLICO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0002070000","Sep 4, 2018",Asignado Pnp (Preliminar),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0017380000","Sep 3, 2018",Con Investigacion Preliminar,VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0017370000","Sep 3, 2018",Con Investigacion Preliminar,VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001940000","Sep 3, 2018",Asignado Pnp (Preliminar),CONCUSION (PATROCINIO ILEGAL)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0014490000","Sep 3, 2018",Con Investigacion Preliminar,VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0014500000","Sep 3, 2018",Con Investigacion Preliminar,VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,04ºfiscalia Superior Penal De La Libertad,"02306015500-2016-
0003120001","Aug 28, 2018",Audiencia De Apelacion,CORRUPCIÓN DE FUNCIONARIO (CORRUPCION DE FUNCIONARIO PUBLICO)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,04º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2018-
0008390000","Aug 27, 2018",Con Investigacion Preliminar,OMISION ACTOS FUNCIONALES-1ER.PARRAFO- FUNCIONARIO PUBLICO QUE...
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,18º Fiscalia Provincial En Lo Penal De Lima,"00506010118-2018-
0006660000","Aug 27, 2018",Investigacion Policial,CONTRA LA FE PUBLICA (COMETE FALSEDAD SIMULANDO SUPONIENDO ALTERANDO LA VERDAD INTENCIONALMENTE Y CON PERJUIC...
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506015100-2014-
0002420003","Aug 24, 2018",Audiencia De Apelacion,TRAFICO ILICITO DE DROGAS  (LAVADO DE ACTIVOS - LEY 27765)
"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,Junín,02º Fiscalía Superior Penal De Junin(Ncpp),"02206015600-2018-
0000250003","Aug 22, 2018",Recepcion De Solicitud De Consulta,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2018-
0053210000","Aug 21, 2018",Denuncia Pendiente,OMISION ACTOS FUNCIONALES-1ER.PARRAFO- FUNCIONARIO PUBLICO QUE...
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0015500000","Aug 21, 2018",Con Investigacion Preliminar,VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2018-
0049580000","Aug 21, 2018",En Calificacion (Califica),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,04° Fiscalía Superior Penal De Ayacucho(Ncpp),"01606014502-2016-
0001240003","Aug 21, 2018",Califica Apelacion,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E...
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0013570000","Aug 20, 2018",Con Investigacion Preliminar,VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2018-
0052210000","Aug 16, 2018",Con Archivo (Califica),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2018-
0047290000","Aug 16, 2018",Con Archivo (Califica),ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2018-
0013540000","Aug 16, 2018",En Calificacion (Califica),VIOLACIÓN A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240005","Aug 16, 2018",Audiencia De Apelacion,LESIONES (CULPOSAS)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001820000","Aug 15, 2018",Con Investigacion Preliminar,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2018-
0002420000","Aug 14, 2018",Denuncia Pendiente,CONCUSION
